"playerid","name","teamname","totalgoals","totalassists","averageminutesplayed","playedover300min","agebetween25and30","scored3plusgoalsinmatch","estimatedmatchesplayed","playedinfrance","datejoinedfrenchteam","playedingermany","datejoinedgermanteam"
384,William Miller,Bilbao Rovers,3,3,67.5000000000000000,"0","1","1","1 match45 min",0,,0,
351,Liam Rodriguez,Valencia CF,11,2,75.0000000000000000,"1","0","1","5 match0 min",0,,0,
116,Lucas Garcia,Paris Kings,5,0,65.0000000000000000,"0","0","0","2 match15 min",1,,0,
184,William Hernandez,Lille Athletics,6,0,71.2500000000000000,"0","0","1","3 match15 min",1,,0,
87,William Smith,Venice Rovers,2,0,52.5000000000000000,"0","0","0","1 match15 min",0,,1,
273,Liam Davis,Chelsea United,1,2,60.0000000000000000,"0","0","0","1 match30 min",0,,0,
51,Michael Martinez,Turin Stars,4,1,45.0000000000000000,"0","1","1","1 match0 min",0,,1,
394,Lucas Smith,Bilbao Rovers,6,0,48.7500000000000000,"0","0","0","2 match15 min",0,,0,
70,Oliver Brown,Naples FC,1,2,75.0000000000000000,"0","0","0","0 match75 min",0,,1,
190,William Hernandez,Lille Athletics,7,0,82.5000000000000000,"1","0","1","3 match60 min",1,,0,
350,Liam Martinez,Valencia CF,5,1,52.5000000000000000,"0","0","1","2 match30 min",0,,0,
314,Liam Hernandez,Barcelona FC,1,2,90.0000000000000000,"0","0","0","2 match0 min",0,,0,
386,Benjamin Martinez,Bilbao Rovers,6,2,69.0000000000000000,"1","0","1","3 match75 min",0,,0,
278,Michael Rodriguez,Chelsea United,9,4,67.5000000000000000,"0","1","1","3 match0 min",0,,0,
364,William Jones,Seville Stars,6,1,60.0000000000000000,"0","0","1","2 match0 min",0,,0,
169,Liam Miller,Bordeaux FC,3,4,75.0000000000000000,"0","1","1","1 match60 min",1,,0,
176,Michael Garcia,Bordeaux FC,6,2,70.0000000000000000,"0","1","1","2 match30 min",1,,0,
299,William Smith,Arsenal Stars,8,3,70.0000000000000000,"0","1","1","2 match30 min",0,,0,
345,Henry Martinez,Valencia CF,3,2,82.5000000000000000,"0","0","1","1 match75 min",0,,0,
180,Alexander Miller,Bordeaux FC,6,3,75.0000000000000000,"0","0","1","2 match45 min",1,,0,
292,James Jones,Arsenal Stars,2,0,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
236,James Brown,Manchester Hawks,1,2,67.5000000000000000,"0","0","0","1 match45 min",0,,0,
271,Michael Garcia,Chelsea United,1,0,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
263,Liam Martinez,Chelsea United,3,0,90.0000000000000000,"0","1","1","1 match0 min",0,,0,
22,James Davis,Milan City,3,2,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
156,Henry Davis,Marseille United,3,0,45.0000000000000000,"0","0","1","0 match45 min",1,,0,
197,Daniel Davis,Lille Athletics,5,2,86.2500000000000000,"1","1","0","3 match75 min",1,,0,
135,James Davis,Lyon Warriors,2,2,54.0000000000000000,"0","1","0","3 match0 min",1,,0,
227,William Martinez,Manchester Hawks,11,3,81.0000000000000000,"1","0","1","4 match45 min",0,,0,
282,Alexander Miller,Arsenal Stars,0,0,45.0000000000000000,"0","0","0","0 match45 min",0,,0,
390,Benjamin Rodriguez,Bilbao Rovers,4,4,82.5000000000000000,"0","0","0","1 match75 min",0,,0,
173,Michael Johnson,Bordeaux FC,2,0,60.0000000000000000,"0","1","0","0 match60 min",1,,0,
73,Lucas Garcia,Naples FC,6,4,60.0000000000000000,"0","0","1","1 match30 min",0,,1,
269,Henry Rodriguez,Chelsea United,9,4,67.5000000000000000,"0","0","1","3 match0 min",0,,0,
311,Benjamin Brown,Barcelona FC,6,2,67.5000000000000000,"0","0","1","1 match45 min",0,,0,
261,Michael Johnson,Chelsea United,5,2,60.0000000000000000,"0","0","1","1 match30 min",0,,0,
103,Benjamin Martinez,Paris Kings,1,2,65.0000000000000000,"0","0","0","2 match15 min",1,,0,
280,William Brown,Chelsea United,4,0,71.2500000000000000,"0","1","0","3 match15 min",0,,0,
42,Daniel Miller,Turin Stars,3,2,67.5000000000000000,"0","0","1","3 match0 min",0,,1,
189,William Davis,Lille Athletics,7,3,80.0000000000000000,"0","0","1","2 match60 min",1,,0,
121,William Brown,Lyon Warriors,3,1,45.0000000000000000,"0","0","1","0 match45 min",1,,0,
117,William Smith,Paris Kings,2,0,45.0000000000000000,"0","0","0","1 match0 min",1,,0,
161,Daniel Rodriguez,Bordeaux FC,7,2,69.0000000000000000,"1","0","1","3 match75 min",1,,0,
88,Daniel Brown,Venice Rovers,0,2,52.5000000000000000,"0","0","0","1 match15 min",0,,1,
188,Alexander Johnson,Lille Athletics,3,2,45.0000000000000000,"0","1","0","1 match0 min",1,,0,
113,James Martinez,Paris Kings,1,2,60.0000000000000000,"0","0","0","0 match60 min",1,,0,
257,Liam Jones,Liverpool FC,1,1,45.0000000000000000,"0","0","0","1 match0 min",0,,0,
125,Henry Smith,Lyon Warriors,1,3,52.5000000000000000,"0","1","0","1 match15 min",1,,0,
40,Benjamin Martinez,Milan City,10,6,75.0000000000000000,"1","1","0","8 match30 min",0,,1,
240,Alexander Hernandez,Manchester Hawks,8,1,62.5000000000000000,"1","0","1","4 match15 min",0,,0,
43,Alexander Brown,Turin Stars,10,0,75.0000000000000000,"1","0","1","4 match15 min",0,,1,
196,James Smith,Lille Athletics,4,4,75.0000000000000000,"0","0","0","2 match45 min",1,,0,
